topic_id,category_top1,topic_desc
0,Social Sciences,"Tópico 0. Palabras clave: school, education, students, mental, health, educational, teachers, chile, schools, chilean"
1,Pharmacology,"Tópico 1. Palabras clave: cancer, cells, tumor, cell, breast, metastasis, prostate, tumors, patients, expression"
2,Veterinary,"Tópico 2. Palabras clave: cows, milk, dairy, meat, welfare, kg, animal, cattle, calves, cow"
3,Energy,"Tópico 3. Palabras clave: control, predictive, voltage, converter, mpc, converters, multilevel, power, inverter, grid"
4,Engineering,"Tópico 4. Palabras clave: seismic, buildings, concrete, ground, building, structures, earthquake, reinforced, steel, motion"
5,Mathematics,"Tópico 5. Palabras clave: finite, stokes, flow, equations, numerical, mixed, element, error, velocity, formulation"
6,Immunology and Microbiology,"Tópico 6. Palabras clave: salmon, salmonis, atlantic, fish, salar, piscirickettsia, rogercresseyi, lice, salmo, caligus"
7,Neuroscience,"Tópico 7. Palabras clave: brain, visual, psychedelic, dmt, schizophrenia, eeg, cortex, attention, attentional, experience"
8,Agricultural and Biological Sciences,"Tópico 8. Palabras clave: forest, species, forests, tree, native, seed, niche, plant, conservation, plantations"
9,Mathematics,"Tópico 9. Palabras clave: skew, random, gaussian, covariance, likelihood, distributions, distribution, entropy, normal, information"
10,Agricultural and Biological Sciences,"Tópico 10. Palabras clave: species, genus, telmatobius, chile, sp, parasites, new, diptera, taxonomic, rodents"
11,Computer Science,"Tópico 11. Palabras clave: learning, teaching, students, education, digital, teachers, educational, science, online, engineering"
12,Arts and Humanities,"Tópico 12. Palabras clave: la, de, poetry, literary, el, en, his, del, art, century"
13,Mathematics,"Tópico 13. Palabras clave: equations, equation, solutions, convex, periodic, operator, existence, differential, operators, functions"
14,Physics and Astronomy,"Tópico 14. Palabras clave: quantum, entanglement, states, entangled, photon, qubit, photonic, bell, state, dot"
15,Environmental Science,"Tópico 15. Palabras clave: water, drought, river, precipitation, lake, hydrological, climate, land, chile, groundwater"
16,Earth and Planetary Sciences,"Tópico 16. Palabras clave: volcanic, magma, volcano, eruptive, eruption, magmatic, lava, eruptions, zone, reservoir"
17,Biochemistry,"Tópico 17. Palabras clave: insulin, glucose, diabetes, obesity, hypothalamic, t2d, mitochondrial, adipose, metabolic, glp"
18,Veterinary,"Tópico 18. Palabras clave: virus, viruses, influenza, iltv, bvdv, swine, recombination, viral, vaccine, infectious"
19,Physics and Astronomy,"Tópico 19. Palabras clave: pb, collisions, snn, pt, particle, tev, multiplicity, 02, pp, measured"
20,Computer Science,"Tópico 20. Palabras clave: algorithm, algorithms, problem, optimization, problems, combinatorial, instances, knapsack, programming, metaheuristics"
21,Neuroscience,"Tópico 21. Palabras clave: neurons, synaptic, wnt, neuronal, nmj, postsynaptic, signaling, hippocampal, neuromuscular, bdnf"
22,Materials Science,"Tópico 22. Palabras clave: alloy, alloys, ti3c2tx, ti, wear, mechanical, coatings, microstructure, phase, tribological"
23,Chemistry,"Tópico 23. Palabras clave: complexes, ligand, ligands, coordination, crystal, 1h, schiff, nmr, electronic, cu"
24,Materials Science,"Tópico 24. Palabras clave: magnetic, spin, magnetization, magnonic, modes, micromagnetic, nanowires, bloch, domain, skyrmion"
25,Social Sciences,"Tópico 25. Palabras clave: mathematics, mathematical, teacher, teachers, knowledge, teaching, education, solving, thinking, algebraic"
26,Earth and Planetary Sciences,"Tópico 26. Palabras clave: glacier, snow, glaciers, ice, balance, andes, mass, ablation, climate, elevation"
27,Social Sciences,"Tópico 27. Palabras clave: housing, urban, city, neighborhood, santiago, cities, social, estate, temuco, space"
28,Social Sciences,"Tópico 28. Palabras clave: eating, food, obesity, habits, children, nutrition, dietary, healthy, nutritional, diet"
29,Earth and Planetary Sciences,"Tópico 29. Palabras clave: basin, ma, tectonic, cretaceous, plate, late, rocks, arc, magmatism, mantle"
30,Social Sciences,"Tópico 30. Palabras clave: political, constitutional, party, constitution, electoral, democracy, parties, voting, presidential, democratic"
31,Health Professions,"Tópico 31. Palabras clave: physical, exercise, older, adults, cognitive, epinfant, activity, children, adlq, elderly"
32,Earth and Planetary Sciences,"Tópico 32. Palabras clave: earthquake, tsunami, earthquakes, seismic, mw, subduction, slip, megathrust, afterslip, rupture"
33,Psychology,"Tópico 33. Palabras clave: intergroup, cultural, members, contact, social, inequality, acculturation, prejudice, self, beliefs"
34,Agricultural and Biological Sciences,"Tópico 34. Palabras clave: extracts, antioxidant, extract, glucosidase, activity, ms, compounds, leaves, oil, essential"
35,Agricultural and Biological Sciences,"Tópico 35. Palabras clave: drying, antioxidant, juice, freeze, bioactive, vacuum, compounds, extraction, phenolic, cryoconcentration"
36,Social Sciences,"Tópico 36. Palabras clave: media, news, twitter, television, journalism, political, social, digital, sentiment, journalists"
37,Physics and Astronomy,"Tópico 37. Palabras clave: black, hole, holes, quasinormal, scalar, gravity, einstein, solutions, dimensional, exact"
38,Computer Science,"Tópico 38. Palabras clave: projects, construction, software, bim, tactics, value, project, design, architectural, process"
39,Biochemistry,"Tópico 39. Palabras clave: yeast, cerevisiae, fermentation, saccharomyces, nitrogen, wine, torc1, strains, yeasts, metabolic"
40,Physics and Astronomy,"Tópico 40. Palabras clave: galaxies, star, gas, galaxy, formation, stellar, sfr, ism, emission, agn"
41,Physics and Astronomy,"Tópico 41. Palabras clave: higgs, boson, search, decays, atlas, decaying, detector, tev, gev, fb"
42,Nursing,"Tópico 42. Palabras clave: older, mortality, frailty, people, adults, age, sarcopenia, years, frail, aged"
43,Computer Science,"Tópico 43. Palabras clave: infrared, qsm, imaging, noise, image, reconstruction, susceptibility, images, nonuniformity, mri"
44,Health Professions,"Tópico 44. Palabras clave: exercise, training, hiit, fat, weeks, intensity, body, htn, heart, rt"
45,Psychology,"Tópico 45. Palabras clave: sexual, gay, men, lesbian, satisfaction, transgender, heterosexual, gender, pornography, sex"
46,Materials Science,"Tópico 46. Palabras clave: wrinkled, hydrogel, printing, scaffolds, 3d, hydrogels, polymerization, printed, films, materials"
47,Physics and Astronomy,"Tópico 47. Palabras clave: cross, collisions, section, atlas, detector, tev, proton, production, sections, measurement"
48,Environmental Science,"Tópico 48. Palabras clave: microbial, communities, bacterial, sediments, algal, community, blooms, bacteria, cyanobacteria, harmful"
49,Immunology and Microbiology,"Tópico 49. Palabras clave: cruzi, trypanosoma, chagas, parasite, placental, gondii, explants, infection, congenital, trypanocidal"
50,Physics and Astronomy,"Tópico 50. Palabras clave: neutrino, minerva, νμ, antineutrino, cross, gev, charged, scattering, section, energy"
51,Materials Science,"Tópico 51. Palabras clave: diamond, carbon, nanotubes, nanoparticles, amorphous, hollow, dislocation, graphene, mechanical, nm"
52,Arts and Humanities,"Tópico 52. Palabras clave: law, legal, criminal, civil, procedural, rights, court, contract, administrative, private"
53,Medicine,"Tópico 53. Palabras clave: sars, cov, coronavac, booster, vaccine, bnt162b2, variants, omicron, vaccination, covid"
54,Physics and Astronomy,"Tópico 54. Palabras clave: atlas, trigger, lhc, run, detector, calorimeter, detectors, proton, reconstruction, performance"
55,Business,"Tópico 55. Palabras clave: transport, travel, public, bus, satisfaction, service, users, transit, fare, vehicles"
56,Immunology and Microbiology,"Tópico 56. Palabras clave: pylori, helicobacter, microbiota, children, gut, gastric, stool, infection, intestinal, eradication"
57,Neuroscience,"Tópico 57. Palabras clave: speech, vocal, voice, speaker, noise, glottal, fold, sound, acoustic, subglottal"
58,Immunology and Microbiology,"Tópico 58. Palabras clave: typhimurium, salmonella, infection, discoideum, spi, enterica, typhi, enteritidis, virulence, serovar"
59,Mathematics,"Tópico 59. Palabras clave: graph, graphs, vertices, estrada, bounds, matrix, laplacian, adjacency, vertex, formula"
60,Earth and Planetary Sciences,"Tópico 60. Palabras clave: archaeological, hunter, atacama, lithic, archaic, desert, northern, gatherers, gatherer, occupation"
61,Social Sciences,"Tópico 61. Palabras clave: migration, migrants, mobility, migrant, haitian, immigrants, immigration, chile, racism, santiago"
62,Biochemistry,"Tópico 62. Palabras clave: hiv, ires, viral, rna, hbx, virus, translation, initiation, denv, dengue"
63,Environmental Science,"Tópico 63. Palabras clave: air, pollution, pm2, particulate, indoor, quality, exposure, health, pm10, matter"
64,Biochemistry,"Tópico 64. Palabras clave: maternal, fetal, gdm, placental, pregnancy, placenta, gestational, sga, obesity, insulin"
65,Agricultural and Biological Sciences,"Tópico 65. Palabras clave: antarctic, species, islands, ocean, genus, south, southern, pacific, boeckella, laevilitorina"
66,Decision Sciences,"Tópico 66. Palabras clave: inventory, demand, price, supply, chain, prophet, pricing, buyer, product, suppliers"
67,Arts and Humanities,"Tópico 67. Palabras clave: philosophy, leibniz, kant, consciousness, his, metaphysics, heidegger, god, philosophical, spinoza"
68,Environmental Science,"Tópico 68. Palabras clave: aerosol, lidar, smoke, emissions, carbon, cloud, atmospheric, air, depolarization, hemisphere"
69,Materials Science,"Tópico 69. Palabras clave: zno, photocatalytic, tio2, photocatalysis, photoanodes, rutile, aptes, degradation, zinc, spectroscopy"
70,Chemistry,"Tópico 70. Palabras clave: fermentation, lignin, production, acid, hydrolysis, biomass, microbial, pdc, ethanol, cultures"
71,Chemistry,"Tópico 71. Palabras clave: derivatives, ferrocenyl, 1h, compounds, compound, synthesis, pyrazole, nmr, phenyl, crystal"
72,Physics and Astronomy,"Tópico 72. Palabras clave: dark, matter, higgs, boson, search, decaying, standard, mediator, missing, relic"
73,Social Sciences,"Tópico 73. Palabras clave: statistical, textbooks, graphs, education, statistics, primary, tables, mathematics, reading, probability"
74,Social Sciences,"Tópico 74. Palabras clave: gender, women, stem, stereotypes, education, vocational, female, students, career, construction"
75,Immunology and Microbiology,"Tópico 75. Palabras clave: difficile, spores, spore, exosporium, clostridium, cdi, cdec, clostridioides, infection, antibiotic"
