doc_id,topic_id,group_id
0,5,1
1,1,0
2,0,0
3,1,0
4,14,0
5,14,0
6,14,0
7,14,0
8,-1,-1
9,14,0
10,14,0
11,14,0
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
17,8,0
18,4,0
19,0,0
20,0,0
21,8,0
22,4,0
23,0,0
24,0,0
25,-1,-1
26,6,0
27,-1,-1
28,8,0
29,4,0
30,-1,-1
31,6,0
32,-1,-1
33,4,0
34,2,0
35,-1,-1
36,-1,-1
37,7,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,-1,-1
48,18,0
49,-1,-1
50,18,0
51,5,1
52,3,1
53,-1,-1
54,-1,-1
55,-1,-1
56,2,0
57,18,0
58,18,0
59,18,0
60,18,0
61,18,0
62,18,0
63,9,0
64,18,0
65,0,0
66,0,0
67,0,0
68,0,0
69,5,1
70,0,0
71,15,3
72,1,0
73,18,0
74,18,0
75,0,0
76,4,0
77,4,0
78,4,0
79,4,0
80,4,0
81,0,0
82,7,0
83,7,0
84,5,1
85,-1,-1
86,-1,-1
87,0,0
88,0,0
89,9,0
90,-1,-1
91,-1,-1
92,0,0
93,-1,-1
94,-1,-1
95,0,0
96,0,0
97,0,0
98,0,0
99,6,0
100,9,0
101,-1,-1
102,8,0
103,19,0
104,-1,-1
105,14,0
106,14,0
107,14,0
108,14,0
109,14,0
110,14,0
111,8,0
112,14,0
113,14,0
114,14,0
115,14,0
116,14,0
117,8,0
118,8,0
119,6,0
120,6,0
121,-1,-1
122,8,0
123,-1,-1
124,24,0
125,6,0
126,0,0
127,0,0
128,-1,-1
129,0,0
130,3,1
131,-1,-1
132,0,0
133,0,0
134,5,1
135,-1,-1
136,-1,-1
137,10,3
138,-1,-1
139,-1,-1
140,-1,-1
141,21,0
142,21,0
143,-1,-1
144,-1,-1
145,-1,-1
146,21,0
147,21,0
148,21,0
149,21,0
150,-1,-1
151,21,0
152,21,0
153,12,3
154,21,0
155,21,0
156,-1,-1
157,-1,-1
158,21,0
159,12,3
160,-1,-1
161,10,3
162,12,3
163,10,3
164,4,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,7,0
172,-1,-1
173,7,0
174,7,0
175,7,0
176,-1,-1
177,7,0
178,1,0
179,7,0
180,-1,-1
181,13,2
182,-1,-1
183,0,0
184,-1,-1
185,7,0
186,-1,-1
187,7,0
188,-1,-1
189,7,0
190,-1,-1
191,7,0
192,-1,-1
193,7,0
194,10,3
195,10,3
196,12,3
197,12,3
198,10,3
199,10,3
200,-1,-1
201,12,3
